ProductID,ProductName,CategoryID,SubCategory,SupplierID,CostPrice,UnitPrice,LaunchDate,Status
P-0001,Pepsi Yoghurt Drink,CAT-01,Beverages,SUP-003,2582.89,3100,2020-08-10,Active
P-0002,Power Oil Seasoning Cubes Pack,CAT-01,Cooking Essentials,SUP-010,1545.09,1750,2020-04-27,Active
P-0003,Loya Evaporated Milk Tin,CAT-01,Dairy & Frozen,SUP-011,7183.58,8500,2024-08-01,Active
P-0004,Semovita Semolina 5kg,CAT-01,Staples,SUP-003,26336.43,32900,2023-05-27,Active
P-0005,Maggi Salt 1kg,CAT-01,Cooking Essentials,SUP-008,1602.77,1900,2021-01-28,Active
P-0006,Kings Seasoning Cubes Pack,CAT-01,Cooking Essentials,SUP-010,2884.81,3550,2023-07-15,Active
P-0007,Golden Penny Macaroni 500g,CAT-01,Staples,SUP-008,29858.84,36100,2021-12-19,Active
P-0008,Gino Seasoning Cubes Pack,CAT-01,Cooking Essentials,SUP-007,5928.25,7150,2018-12-17,Active
P-0009,Lucozade Juice 1L,CAT-01,Beverages,SUP-005,905.11,1100,2021-12-31,Discontinued
P-0010,Royal Stallion Rice 10kg,CAT-01,Staples,SUP-001,16887.83,21200,2022-07-10,Active
P-0011,Knorr Tomato Paste 210g,CAT-01,Cooking Essentials,SUP-002,8170.89,9550,2018-12-28,Active
P-0012,Pepsi Juice 1L,CAT-01,Beverages,SUP-008,5000.63,5650,2022-03-12,Discontinued
P-0013,Chivita PET 50cl,CAT-01,Beverages,SUP-040,7922.67,9100,2022-01-17,Active
P-0014,Heinz Baked Beans 400g,CAT-01,Canned & Packaged,SUP-003,712.62,950,2022-08-05,Active
P-0015,Titus Mayonnaise 443ml,CAT-01,Canned & Packaged,SUP-015,3569.6,3900,2021-05-11,Active
P-0016,Titus Baked Beans 400g,CAT-01,Canned & Packaged,SUP-014,2074.21,2450,2023-10-26,Discontinued
P-0017,Dangote Rice 25kg,CAT-01,Staples,SUP-007,28706.57,34850,2021-01-02,Active
P-0018,Sardine King Sweet Corn Tin,CAT-01,Canned & Packaged,SUP-013,3408.55,3800,2022-07-23,Active
P-0019,McVities Sausage Roll,CAT-01,Snacks,SUP-040,2277.85,3000,2022-08-08,Active
P-0020,Titus Sardines Tin,CAT-01,Canned & Packaged,SUP-013,934.97,1100,2024-09-03,Discontinued
P-0021,Golden Penny Noodles Carton,CAT-01,Staples,SUP-008,17653.21,23700,2019-07-30,Active
P-0022,Coca-Cola Yoghurt Drink,CAT-01,Beverages,SUP-005,6712.41,7750,2019-05-22,Active
P-0023,Hollandia Sachet Roll,CAT-01,Beverages,SUP-001,4199.73,5050,2024-07-10,Active
P-0024,Fearless PET 50cl,CAT-01,Beverages,SUP-004,1569.17,1850,2020-01-17,Active
P-0025,Devon King's Seasoning Cubes Pack  ,CAT-01,Cooking Essentials,SUP-014,10965.76,14300,2020-12-23,Active
P-0026,Milo Energy Drink,CAT-01,Beverages,SUP-008,6998.75,8550,2021-03-19,Active
P-0027,McVities Biscuit Pack,CAT-01,Snacks,SUP-006,2396.53,3050,2020-02-29,Active
P-0028,Heinz Mackerel Tin,CAT-01,Canned & Packaged,SUP-015,4072.22,4950,2018-01-14,Active
P-0029,Maggi Palm Oil 2L,CAT-01,Cooking Essentials,SUP-002,1750.42,2300,2024-05-31,Active
P-0030,Three Crowns Butter 250g,CAT-01,Dairy & Frozen,SUP-008,1851.7,2400,2022-12-05,Active
